timestamp,site_current,vehicle_current,solar_current,version,switch_setting,cp_voltage_raw,charge_duty_raw,plug_voltage_raw,live_voltage,neutral_voltage_raw,daylight_raw,mains_freq_raw,charger_state_id,charger_state_name,relay_state,plug_state,hub_duty_limit_amps,charge_duty_timer_raw,station_uptime_seconds,charge_time_seconds,state_of_mains_raw,cp_line_state,station_id,random_value,max_current_raw,persistent_id,watchdog_current_raw,watchdog_time_raw,p1_current,p2_current,p3_current,eco7_switch
2026-08-10T20:27:04.806,0.4955,0.0,0.4958,5A,F,14,1000,1002,234.0,14,0,49,6,idle,1,0,31.98,4501,12,0,1,1,0,EA,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:06.316,0.4956,0.0,0.4957,5A,F,13,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,3022,12,0,1,1,0,E3,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:07.823,0.4958,0.0,0.4957,5A,F,14,1000,1002,234.6,14,0,49,6,idle,1,0,31.98,1546,12,0,1,1,0,9D,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:09.331,0.4958,0.0,0.496,5A,F,13,1000,1002,233.8,13,0,49,6,idle,1,0,31.98,70,12,0,1,1,0,3B,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:10.838,0.4957,0.0,0.4957,5A,F,15,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,0F,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:12.344,0.4956,0.0,0.4957,5A,F,11,1000,1002,234.3,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,9A,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:13.850,0.4958,0.0,0.4957,5A,F,14,1000,1002,234.6,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,69,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:15.356,0.4956,0.0,0.4955,5A,F,15,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,E5,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:16.862,0.4957,0.0,0.4957,5A,F,14,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,99,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:18.369,0.4956,0.0,0.4957,5A,F,14,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,63,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:19.877,0.4956,0.0,0.4957,5A,F,14,1000,1002,233.8,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,5D,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:21.384,0.4957,0.0,0.4959,5A,F,14,1000,1002,233.5,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,F6,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:22.890,0.4958,0.0,0.4958,5A,F,14,1000,1002,233.8,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,C9,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:24.403,0.4959,0.0,0.4957,5A,F,13,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,52,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:25.909,0.4958,0.0,0.4955,5A,F,13,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,64,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:27.416,0.4959,0.0,0.4957,5A,F,16,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,2C,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:28.923,0.4959,0.0,0.4958,5A,F,14,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,DD,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:30.429,0.4957,0.0,0.4958,5A,F,14,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,6B,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:31.935,0.4958,0.0,0.4954,5A,F,13,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,B3,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:33.442,0.4957,0.0,0.4958,5A,F,14,1000,1002,234.6,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,5C,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:34.949,0.4957,0.0,0.4957,5A,F,15,1000,1002,233.8,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,E0,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:36.456,0.4957,0.0,0.4956,5A,F,15,1000,1002,234.3,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,6D,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:37.962,0.4955,0.0,0.4958,5A,F,14,1000,1002,234.3,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,BC,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:39.469,0.4957,0.0,0.4956,5A,F,14,1000,1002,233.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,2E,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:40.976,0.4954,0.0,0.4957,5A,F,14,1000,1002,233.5,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,B1,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:42.483,0.4958,0.0,0.4958,5A,F,13,1000,1002,233.8,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,3D,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:43.990,0.4956,0.0,0.4961,5A,F,14,1000,1002,233.8,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,DB,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:45.498,0.4957,0.0,0.4958,5A,F,14,1000,1002,233.8,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,78,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:47.005,0.4956,0.0,0.496,5A,F,15,1000,1002,234.0,14,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,FF,0,0000F30C,0,2656,0.0,0.0,0.3,0
2026-08-10T20:27:48.510,0.4958,0.0,0.4958,5A,F,14,1000,1002,234.0,13,0,49,6,idle,1,0,31.98,0,12,0,1,1,0,88,0,0000F30C,0,2656,0.0,0.0,0.3,0
